X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,Total Power
467.557,164.1297,490.4258,238.0473,228.4553,418.7817,10.8682,59.4903,42.6125,84.3398,566,129.9976,391.2513,438.984,481.2788,297.0986,338.193,0,436.9537,491.7635,40.0504,540.8936,240.0582,0,462.6409,335.0671,253.3324,223.6549,193.9565,408.7115,566,486.3237,96769.1927,101264.9674,92748.3748,75626.5355,101728.3865,83821.5067,90057.8366,95627.0399,82452.5704,86261.3932,103137.8359,94238.1263,99957.698,88093.2086,91123.239,80607.6818,1463515.593
515.9328,176.3504,259.5609,67.338,566,546.3391,0,27.2453,0,331.4179,528.151,184.0815,317.4454,470.5232,399.607,238.8425,254.3934,62.0213,161.4157,311.1798,401.258,566,0,275.9346,566,566,78.2518,230.511,0,364.0416,435.4617,234.2887,101181.7355,96805.9997,95841.6071,80022.9247,96242.8722,94075.315,98472.6953,81248.9988,90448.294,89263.0537,105254.1233,81317.1677,104591.2116,91631.7014,86086.2139,88639.139,1481123.053
343.626,84.9652,142.1561,313.1669,566,534.2798,113.0558,0,0,189.2527,386.2919,107.7235,256.5827,246.7609,378.2,118.2452,274.7092,0,255.9423,382.3155,193.1871,566,198.9017,99.7975,440.2514,502.8808,123.0669,61.2394,86.5999,566,333.2484,382.246,94244.3952,103772.926,83056.6859,85526.2981,103758.7589,95992.0192,88378.532,88058.5971,82076.6388,88551.2316,101275.6724,93442.0575,98386.6105,87529.5003,92277.5862,87459.4654,1473786.975
566,227.3178,134.9614,85.8551,470.1459,495.9812,0,76.8366,0,247.8817,566,191.6677,426.1239,522.1505,291.5129,307.7753,508.6728,0,357.9731,566,482.5265,566,62.694,69.293,566,566,240.2107,380.7053,149.5261,340.9054,332.4213,511.9967,97312.5398,106656.5514,84425.4524,82909.4515,91754.4721,86687.8552,92811.9144,96807.5782,80758.7297,81640.7767,102580.8099,84065.0508,102922.9461,99271.8143,95262.3019,84267.0588,1470135.303
424.0471,165.4712,96.4849,306.3679,458.4264,566,301.0449,225.3141,201.1311,451.408,201.7798,0,416.5632,301.2984,361.3956,238.7604,96.8522,0,560.4848,357.4866,135.9764,98.4185,4.5001,0,381.368,315.6704,64.8786,184.0315,0,261.7755,316.6746,528.7393,89009.1307,86848.5037,90835.7268,81800.548,86605.8885,103014.1773,95342.2761,89727.995,81308.7282,94033.3317,78832.399,87656.0855,105929.6327,89544.4631,85241.9667,94914.7894,1440645.643
525.4519,224.1515,435.7616,53.5907,566,566,0,238.4793,0,290.1957,472.9422,182.3369,496.7647,387.3137,287.8679,169.8761,0,0,428.7664,556.3489,45.9004,420.1399,33.4478,155.375,566,412.6207,167.166,197.9647,221.2275,247.517,545.5202,392.238,103751.2172,101112.2879,89937.1891,89470.6373,100244.859,96866.3717,94889.4655,91777.0013,83348.0526,87171.9306,100611.2239,82574.4553,95974.8471,87057.9531,92561.3517,86716.0643,1484064.908
565.8086,301.1037,178.2986,0,374.8305,527.1518,0,53.2632,0,280.672,300.6877,2.8079,424.7671,515.0683,421.5957,249.9559,237.7351,196.7909,394.0453,566,406.1988,439.7264,180.2038,32.9249,502.1864,336.1449,26.3885,0,116.9083,125.5758,373.369,433.8027,98383.0358,91443.5053,79786.2865,89227.4727,79296.8046,94790.5558,89769.7595,93063.6252,89066.8322,86948.384,104555.0999,94888.966,95998.8728,105063.8319,93522.899,79381.0553,1465186.987
559.4708,308.0957,5.1839,102.6291,510.3541,566,81.2753,8.454,0,463.0884,454.6861,134.3663,390.1179,524.0254,278.3141,359.233,139.3426,230.2041,392.1033,339.0537,387.2971,500.3842,149.1819,136.121,566,566,55.2955,97.3319,0,239.1595,405.5549,264.5028,101486.2157,87482.577,82028.9181,85515.2147,97493.8314,95301.3474,85203.2651,85690.4102,89767.2828,88628.4435,101207.3234,97692.517,103523.3388,100645.5915,86694.0319,87829.1008,1476189.41
566,425.0556,213.5567,37.3758,450.0242,561.5118,175.6788,0,168.6605,441.7543,424.3616,121.3246,566,401.3788,286.505,108.3356,247.0723,232.7197,447.2085,411.5732,141.9194,338.5921,11.1352,193.9144,422.8772,457.9647,87.9373,126.8435,20.6418,511.8818,456.1959,338.5778,98912.0352,93063.8487,75065.4278,78764.539,96636.0056,95611.3753,100470.0548,90509.7037,76977.4669,96535.9091,100877.651,92490.1083,106580.4786,87050.2629,82461.1195,90677.8083,1462683.795
566,380.526,0,148.6055,521.496,409.6066,0,12.136,115.5911,512.191,337.216,150.6507,436.0118,342.7969,395.6097,260.9113,222.8607,73.7466,566,413.7405,409.0665,432.0376,110.7928,35.45,566,566,265.1339,38.5247,0,151.254,372.7575,531.2771,101002.2119,101243.8519,85275.353,88174.7823,95899.4856,86729.6096,88098.0507,94633.8607,86402.3742,94389.608,94520.1956,97773.7132,106358.0696,96132.6795,91702.864,87949.5973,1496286.307
566,316.6231,0,86.4255,447.4031,512.9159,0,68.1894,202.1315,468.1172,566,91.5563,514.81,498.1108,291.5118,200.8656,175.4764,0,546.914,376.651,222.757,466.7602,7.897,0,543.6989,392.9112,116.227,88.5231,0,145.9258,566,288.7689,94541.4831,100613.7398,88749.9845,90922.7407,88449.4707,94309.8504,88879.8392,96582.7687,86622.719,96936.1167,103475.8359,86841.9188,107262.2662,85214.6364,91046.0091,89510.0297,1489959.409
566,352.7338,0,153.3748,447.7181,519.4999,52.6868,0,0,389.7582,456.7764,178.3884,566,266.9173,330.2792,302.259,206.3833,38.3064,566,374.0626,181.5126,351.5122,0,201.9399,507.5639,461.0637,0,0,0,282.2725,438.8749,225.4352,99138.8962,95043.2503,88671.742,85678.021,93337.371,95711.0646,93759.0305,90367.8557,92272.5459,89778.319,100451.6304,97277.558,105787.7492,86611.4411,83104.6127,88743.5733,1485734.661
501.029,350.1325,211.276,101.5108,529.9807,566,53.1505,44.3508,0,436.0925,299.6068,98.906,566,476.8458,274.7095,220.5163,171.0395,98.7483,566,432.914,126.0037,566,126.9543,0,405.3204,556.1845,0,0,8.342,222.8765,435.8327,461.3115,91730.3068,90514.1354,86639.914,85723.1667,102245.1495,98097.0369,88399.6291,88606.3893,86601.4448,90762.5902,103219.7915,93472.3215,106224.1494,90046.7544,98203.9824,83222.4651,1483709.227
372.2292,268.7322,0,102.7383,472.5072,410.698,0,129.3775,87.6822,508.4967,473.5975,128.7993,463.4086,402.4369,284.9345,139.7246,168.016,46.7532,478.9642,282.6284,259.5348,560.3405,0,125.5772,485.6255,528.6096,87.2752,0,0,306.1858,539.6434,375.5832,94624.0728,97030.444,83227.1946,91553.5656,97587.2094,87853.229,93759.0839,87580.0762,88533.3589,97504.1679,101889.7711,97798.013,107407.272,89292.1952,86610.0575,89636.7087,1491886.42
367.4726,191.2117,0,0,566,484.539,0,86.2252,88.7807,456.2508,435.4109,140.3028,525.6785,404.9883,308.178,261.0192,63.8394,0,488.6372,377.8134,217.2117,492.8437,68.2891,147.3398,412.5896,430.0421,20.108,0,170.3679,421.7538,487.5545,273.6916,94470.1908,96659.0122,83698.8757,84932.5933,96197.5762,91764.908,90036.333,89278.2688,86605.7524,95108.7935,108117.9381,90546.8787,97369.6327,84853.2324,82252.0034,93570.5102,1465462.5
389.2085,405.3744,0,29.4328,566,545.59,125.7257,0,152.5529,249.0624,506.1456,81.7789,566,378.0091,452.9756,225.1231,187.9027,0,484.9564,335.6096,328.9408,483.8876,25.6201,50.333,560.8541,537.8784,17.2072,0,167.2421,262.7304,566,362.2745,95249.9038,101063.2435,87212.393,88774.2746,97509.0723,96730.3586,94354.3461,86936.823,81982.5791,88959.4542,105061.8852,94784.5596,101757.295,90717.5218,92949.8939,91135.4487,1495179.053
516.0481,333.3352,0,22.9146,471.5125,566,0,110.2129,107.3449,239.3408,491.31,179.8288,458.877,418.7386,389.5866,205.1169,254.9731,174.6308,566,328.2269,343.4062,488.1599,163.7002,88.6851,566,409.9145,60.694,24.4649,0,277.379,564.7972,311.2948,101247.5355,96653.586,85659.8694,84509.0348,93995.5481,95564.1921,90267.0077,92010.7835,89857.3064,86515.7976,100479.3856,100486.7522,106773.2418,89559.8091,90841.0459,87981.9993,1492402.895
493.4766,290.9485,0,14.6999,566,554.436,95.4566,0,84.1005,365.3698,446.2326,200.0197,566,438.307,300.217,161.6282,282.0409,0,566,434.4574,230.7883,566,83.6742,50.2391,566,566,51.2685,0,0,463.3741,566,482.2699,91467.6707,99120.95,81411.5944,90412.2947,100082.2694,98116.0524,90651.2054,90267.1554,81860.6026,90912.4791,98676.5264,94306.0207,107182.7735,98859.2363,82823.2919,89967.2029,1486117.326
463.0389,299.207,96.2218,113.3157,486.5319,508.5517,52.9933,43.3021,72.1493,325.7157,444.743,79.262,508.8158,330.0193,455.0883,0,336.1266,101.8086,468.8896,312.782,385.9158,468.1202,109.1491,40.7771,566,434.4351,142.492,0,0,272.6131,566,269.0927,97621.5272,97369.2409,84559.4389,86151.0405,94980.0999,93408.9338,91234.6591,90949.9582,87993.3676,84584.7744,102154.3951,101934.6323,106045.9693,94774.6209,91721.2485,87264.5575,1492748.464
477.2954,287.1495,176.2897,0,524.9707,541.7831,114.1275,150.2764,100.9547,343.0457,566,43.8953,483.2412,357.3897,521.0304,128.0943,110.1799,93.013,459.3326,440.2094,339.9554,429.5683,79.6296,135.9559,521.1158,566,13.9906,117.4815,5.0485,227.3717,496.2112,248.5484,99938.6218,96567.847,89164.5653,85860.4099,98868.1414,95535.3453,94800.4994,84653.2534,82055.3637,89477.5723,104594.2886,84522.5716,98657.7901,95068.3388,93146.332,85911.9788,1478822.92
566,397.1376,60.1889,59.3385,476.5093,566,0.707,33.1289,101.4271,341.8802,483.4293,89.1699,479.3822,341.2606,417.4046,92.8309,184.8587,103.3502,435.4656,346.0745,364.3048,566,104.0927,64.0891,514.7666,553.7138,130.2046,71.7376,14.1466,360.7773,566,224.6983,99341.0049,95250.9102,87791.707,89151.6977,97836.0638,96449.698,83216.6582,91885.628,84508.9164,84548.78,98127.9781,94878.7356,107152.9064,91336.3574,88753.9694,88868.4371,1479099.448
519.9934,225.9148,0,107.4295,433.7452,545.3834,13.1693,171.8896,201.3892,292.0273,491.8184,11.8847,410.366,336.9665,327.0618,196.1126,292.3215,102.6312,417.7081,390.2348,465.576,542.6638,78.4621,119.144,539.6683,410.2151,22.7389,0,56.1275,267.3914,566,304.8511,100300.0823,97166.642,81735.4027,87213.7778,93233.9837,95311.9966,91341.912,86959.1134,81666.7445,88624.5132,107189.5457,101628.0402,97552.792,93958.9474,86974.735,89725.7709,1480583.999
487.8905,205.4079,39.9454,29.2815,547.0697,566,35.5917,190.3267,127.5662,363.9827,504.4288,0,448.2152,320.7193,340.8661,14.2978,308.3575,0,515.1303,330.0661,357.8722,566,84.9232,92.2367,558.0006,486.9224,193.0077,21.8947,0,248.9814,557.7182,234.2227,94802.7812,102213.7635,85250.3265,88346.4485,95525.087,96195.1012,87249.8684,97691.0165,84253.277,92116.7139,102703.5921,96729.2846,106820.2098,90569.399,89772.5125,91835.7945,1502075.176
543.4096,326.1088,72.3336,97.1652,362.042,566,16.3998,80.8542,104.3444,354.1497,542.723,16.4217,434.6472,399.7842,356.703,84.4266,281.4446,48.2502,512.5058,344.8423,358.2823,566,61.5567,84.3216,566,430.9946,58.4617,0,47.4849,188.8352,521.4311,223.4974,98369.1472,97455.7136,86888.4302,87428.2476,94696.1746,95701.5721,86698.318,88767.1194,83949.3666,92279.8841,105297.493,100304.3749,99535.9486,96115.2865,90953.3564,90869.138,1495309.571
446.1064,383.6371,2.7076,170.7321,566,566,73.7953,121.6528,65.3513,278.6606,566,24.3258,495.8886,315.8834,350.5355,59.4741,328.8687,100.8827,566,357.4505,302.7898,517.4223,68.1889,166.8562,513.5795,511.861,0,0,26.0568,220.6444,509.2977,340.3597,91386.5194,99563.1008,84634.7213,90861.7084,100484.0549,96902.324,94251.9814,88921.8354,87834.4041,84113.5803,106862.1777,100902.7227,96095.275,96658.0861,90187.4858,86968.2079,1496628.185
526.212,360.8386,114.9442,13.8208,478.2253,524.5434,69.0746,76.428,181.7905,260.712,566,47.3655,448.0088,330.312,390.7922,101.799,359.2108,82.8925,541.6633,327.2087,545.7664,513.321,87.4382,141.4734,566,460.4875,169.7611,0,20.4338,212.4409,509.5379,281.3028,98222.727,97749.9971,80604.2894,87274.6804,83121.5375,97594.7195,94162.9224,87827.9308,82352.1871,87154.3367,102139.0723,101487.423,107290.5088,95785.821,85951.6837,93058.512,1481778.349
566,335.7698,36.5985,97.3141,457.2884,492.9762,66.8153,181.8591,101.6837,331.5451,519.7613,55.5183,443.8795,401.286,361.8438,0,325.3403,0,495.049,357.9073,527.7415,566,206.0251,98.8325,543.354,413.2675,12.4422,0,49.5232,164.0383,566,215.6453,99092.3709,99222.4122,86675.3307,88896.9794,91515.0515,92041.2306,92637.0566,91649.9933,83229.1781,95098.3805,107006.0146,97855.1991,94851.0474,99313.2245,83767.9402,86852.6403,1489704.05
480.8352,259.8246,0,13.7758,439.2246,566,151.7129,46.4332,99.053,297.3561,499.5588,66.2025,552.3999,407.6232,365.9058,0,291.1976,0,454.1559,381.3344,465.7803,551.4696,218.6388,145.0773,559.1015,373.9782,112.5105,38.0302,28.8047,178.8245,566,288.1674,97540.0104,102398.4981,85792.4568,87726.8215,94341.5867,96996.3015,91571.8721,91894.6787,85108.1867,92248.7406,101801.8772,96524.353,106106.8261,97104.4439,89488.0568,88937.8743,1505582.584
502.1867,253.3738,0,103.7876,491.4274,500.0807,93.8152,189.9249,87.5303,290.7351,554.9529,52.1179,502.0922,383.683,422.9877,0,261.6469,13.49,474.9116,393.8912,387.9511,566,176.499,0,534.9386,387.53,130.4527,62.5757,0,262.6951,566,165.5673,99434.1866,98146.2086,85534.3729,86866.864,95700.3226,95641.4441,89673.0252,94817.2171,86138.2544,90470.054,102345.6752,93895.3923,107624.4053,92185.2606,86099.0472,86977.6196,1491549.35
556.5428,255.6471,0,66.7777,511.7439,488.4557,53.8876,108.5054,111.5721,236.4458,566,9.2717,510.9555,424.1247,336.6483,133.5597,329.5874,5.654,566,369.6265,462.0263,545.2825,223.6777,85.2036,521.9184,405.7841,173.9466,15.7454,86.2175,240.4015,566,194.0785,98605.1034,103822.0495,84722.0277,86846.51,96669.564,94729.5054,85866.7506,93620.6251,87441.8129,89259.0605,100936.498,98123.2355,106571.6578,94263.7268,86273.4329,91352.1562,1499103.716
549.4976,252.8128,0,119.2369,517.5566,531.6595,57.8803,156.1117,118.4323,325.1171,534.9877,28.5478,566,389.4871,274.4506,25.6158,275.2174,4.1625,566,396.7894,417.9444,566,120.5562,30.6325,566,437.0234,203.4995,57.4953,0,176.7977,450.8792,214.9177,96080.5244,104264.6862,86180.557,86201.4375,97190.885,95481.2106,88289.6217,95419.217,90444.6083,89386.1184,103237.9726,92026.2955,106233.6862,94703.427,79696.1999,90939.7424,1495776.19
566,310.6973,49.9652,0,488.4956,566,77.1615,183.8492,142.71,361.5704,552.1355,32.0463,546.7273,360.9049,299.3149,77.7213,247.6112,19.8171,529.3753,407.7321,461.6598,566,113.2929,32.0494,566,362.0047,175.0013,48.7548,0,125.226,566,273.8512,96445.6039,103313.8518,83906.196,91223.2477,98091.5216,95721.1561,86158.2874,94636.3664,83963.3387,94178.7487,103325.0969,91736.1798,106613.3682,93832.7141,90477.8048,90608.3562,1504231.838
540.6315,261.4775,36.7529,66.9986,566,495.0379,0,141.2743,102.8025,338.7563,484.7837,0,566,399.2293,275.1903,112.5373,269.9676,0,557.3075,433.9985,506.218,526.2679,236.8416,32.6982,520.9274,467.1461,170.8591,6.0011,18.7949,128.5881,531.0777,217.0176,96861.0686,104390.2263,80836.0568,89771.7125,98854.773,87317.1501,88161.8987,92937.1938,84089.9371,91434.6148,100262.0729,95420.91,106369.8121,95150.5054,84763.7124,93101.3785,1489723.023
554.6778,306.2444,56.7547,0,490.8519,566,17.625,185.2469,153.1331,383.746,467.6906,28.1238,566,428.8281,324.0009,10.54,291.6492,69.3921,539.117,386.6941,436.9525,552.3527,87.485,117.9178,566,449.3688,123.2841,0,8.6185,157.241,559.2617,256.6728,97387.1995,98008.3029,83823.6375,90925.5159,98158.8264,95413.4102,91010.692,88770.4819,84019.6612,88872.8725,103612.166,99835.7331,106205.0417,89905.6068,89884.3699,91295.2687,1497128.786
446.5006,392.963,46.3021,7.609,553.1589,566,83.1865,187.7787,119.5827,347.0453,494.9464,79.8146,485.3928,401.6849,331.0435,65.78,282.7376,8.8472,545.9482,316.4448,427.0548,566,197.2683,0,506.8604,382.6657,202.677,21.3105,84.2445,62.5223,552.2713,289.3525,96841.5602,106248.3132,82587.9936,82401.2109,97180.0774,96335.0839,92089.2007,98100.3612,87497.6179,91632.6126,97716.7851,92259.7374,100822.393,92681.6585,89775.9665,90021.1459,1494191.718
